"","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"381","Corey Clement","RB","PHI",0,0,0,0,0,0,NA,NA,0,0,0,0
"382","Cullen Gillaspia","RB","HOU",0,0,0,0,0,0,NA,NA,0,0,0,0
"383","D.J. Foster","RB","ARI",0,0,0,0,0,0,NA,NA,0,0,0,0
"384","David Fales","QB","NYJ",0,0,0,0,0,0,NA,NA,0,0,0,0
"385","David Fluellen","RB","TEN",0,0,0,0,0,0,NA,NA,0,0,0,0
"386","Greg Dortch","WR","CAR",0,0,0,0,0,0,NA,NA,0,0,0,0
"387","Jamize Olawale","RB","DAL",2,0,0,35,0,0,17.5,0,0.02,0.01,0.02,0
"388","JoJo Natson","WR","LA",0,0,0,0,0,0,NA,NA,0,0,0,0
"389","Juwann Winfree","WR","DEN",0,0,0,0,0,0,NA,NA,0,0,0,0
"390","Mack Hollins","WR","MIA",1,0,0,33,0,0,33,0,0.03,0.01,0.03,0
"391","Matthew Slater","WR","NE",0,0,0,0,0,0,NA,NA,0,0,0,0
"392","Michael Burton","RB","WAS",1,0,0,-2,0,0,-2,0,0,0.01,0.01,0
"393","Mike Glennon","QB","OAK",0,0,0,112,0,0,Inf,0,0.22,0,0.15,0
"394","Rod Smith","RB","OAK",0,0,0,0,0,0,NA,NA,0,0,0,0
"395","Rod Smith","RB","TEN",0,0,0,0,0,0,NA,NA,0,0,0,0
"396","Taywan Taylor","WR","CLE",1,0,0,33,0,0,33,0,0.05,0.02,0.06,0
"397","Trenton Cannon","RB","NYJ",0,0,0,0,0,0,NA,NA,0,0,0,0
"398","Trevor Davis","WR","MIA",0,0,0,0,0,0,NA,NA,0,0,0,0
"399","Trevor Siemian","QB","NYJ",0,0,0,41,0,0,Inf,0,0.25,0,0.17,0
"400","Tyler Ervin","RB","JAC",0,0,0,0,0,0,NA,NA,0,0,0,0
"401","Matt Moore","QB","KC",0,0,0,635,0,0,Inf,0,0.47,0,0.33,-0.1
"402","Ryan Griffin","QB","TB",0,0,0,12,0,0,Inf,0,0.01,0,0.01,-0.1
"403","Cam Newton","QB","CAR",0,0,0,793,0,0,Inf,0,1,0,0.7,-0.2
"404","Jarrett Stidham","QB","NE",0,0,0,21,0,0,Inf,0,0.02,0,0.02,-0.2
"405","Josh McCown","QB","PHI",0,0,0,22,0,0,Inf,0,0.03,0,0.02,-0.2
"406","Garrett Gilbert","QB","CLE",0,0,0,47,0,0,Inf,0,0.03,0,0.02,-0.3
"407","Matt Schaub","QB","ATL",0,0,0,488,0,0,Inf,0,0.28,0,0.19,-0.3
"408","Nick Mullens","QB","SF",0,0,0,0,0,0,NA,NA,0,0,0,-0.3
"409","Matt Barkley","QB","BUF",0,0,0,403,0,0,Inf,0,0.49,0,0.34,-0.4
